variable,level,total,invasive,sstvi,abscess,cellulitis,other_ssti,phlebitis,endocarditis,septicaemia,osteo,nf
total2,total,"92,303 (100.0)","12,413 (100.0)","79,890 (100.0)","29,634 (100.0)","20,046 (100.0)","8,377 (100.0)","21,833 (100.0)","2,152 (100.0)","6,087 (100.0)","3,905 (100.0)",269 (100.0)
age_group,15,"4,898 (5.3)",484 (3.9),"4,414 (5.5)","1,667 (5.6)",985 (4.9),220 (2.6),"1,542 (7.1)",95 (4.4),242 (4.0),144 (3.7),3 (1.1)
age_group,25,"32,382 (35.1)","3,671 (29.6)","28,711 (35.9)","10,470 (35.3)","6,443 (32.1)","2,388 (28.5)","9,410 (43.1)",812 (37.7),"1,654 (27.2)","1,159 (29.7)",46 (17.1)
age_group,35,"38,511 (41.7)","5,081 (40.9)","33,430 (41.8)","12,603 (42.5)","8,344 (41.6)","3,911 (46.7)","8,572 (39.3)",882 (41.0),"2,384 (39.2)","1,688 (43.2)",127 (47.2)
age_group,45,"14,234 (15.4)","2,577 (20.8)","11,657 (14.6)","4,400 (14.8)","3,594 (17.9)","1,566 (18.7)","2,097 (9.6)",320 (14.9),"1,401 (23.0)",772 (19.8),84 (31.2)
age_group,55,"2,278 (2.5)",600 (4.8),"1,678 (2.1)",494 (1.7),680 (3.4),292 (3.5),212 (1.0),43 (2.0),406 (6.7),142 (3.6),9 (3.3)
STARTAGE,Median [IQR],37 [31-42],38 [32-45],36 [31-42],36 [31-42],37 [32-43],38 [33-44],34 [30-40],36 [31-42],39 [33-46],38 [33-44],42 [35-46]
STARTAGE,Mean [sd],37.0 [8.2],38.8 [8.8],36.7 [8.1],36.7 [7.9],37.8 [8.5],38.7 [8.0],35.0 [7.5],36.6 [7.9],39.6 [9.2],38.5 [8.4],41.3 [7.5]
SEX,male,"66,359 (71.9)","8,770 (70.7)","57,589 (72.1)","20,183 (68.1)","14,834 (74.0)","6,375 (76.1)","16,197 (74.2)","1,525 (70.9)","4,148 (68.1)","2,922 (74.8)",175 (65.1)
SEX,female or not known,"25,944 (28.1)","3,643 (29.3)","22,301 (27.9)","9,451 (31.9)","5,212 (26.0)","2,002 (23.9)","5,636 (25.8)",627 (29.1),"1,939 (31.9)",983 (25.2),94 (34.9)
ETHNOS,White,"85,809 (93.0)","11,560 (93.1)","74,249 (92.9)","27,450 (92.6)","18,605 (92.8)","7,836 (93.5)","20,358 (93.2)","2,005 (93.2)","5,649 (92.8)","3,650 (93.5)",256 (95.2)
ETHNOS,Black,853 (0.9),134 (1.1),719 (0.9),291 (1.0),182 (0.9),121 (1.4),125 (0.6),24 (1.1),60 (1.0),48 (1.2),2 (0.7)
ETHNOS,Asian,703 (0.8),114 (0.9),589 (0.7),261 (0.9),166 (0.8),51 (0.6),111 (0.5),10 (0.5),79 (1.3),22 (0.6),3 (1.1)
ETHNOS,Mixed,899 (1.0),140 (1.1),759 (1.0),309 (1.0),182 (0.9),94 (1.1),174 (0.8),34 (1.6),59 (1.0),44 (1.1),3 (1.1)
ETHNOS,Other or unknown,"4,039 (4.4)",465 (3.7),"3,574 (4.5)","1,323 (4.5)",911 (4.5),275 (3.3),"1,065 (4.9)",79 (3.7),240 (3.9),141 (3.6),5 (1.9)
imd5,1 - most deprived,"52,657 (57.0)","6,898 (55.6)","45,759 (57.3)","16,728 (56.4)","11,305 (56.4)","4,938 (58.9)","12,788 (58.6)","1,178 (54.7)","3,313 (54.4)","2,262 (57.9)",145 (53.9)
imd5,2,"20,403 (22.1)","2,755 (22.2)","17,648 (22.1)","6,593 (22.2)","4,500 (22.4)","1,818 (21.7)","4,737 (21.7)",488 (22.7),"1,379 (22.7)",831 (21.3),57 (21.2)
imd5,3,"10,024 (10.9)","1,372 (11.1)","8,652 (10.8)","3,249 (11.0)","2,201 (11.0)",920 (11.0),"2,282 (10.5)",239 (11.1),693 (11.4),396 (10.1),44 (16.4)
