year,age_group,admissions
2002,34,1089
2002,15,668
2002,25,1852
2002,44,215
2003,15,870
2003,25,2473
2003,34,1514
2003,44,223
2003,54,22
2002,54,13
2004,25,2154
2004,34,1498
2004,15,650
2004,44,277
2004,54,33
2005,34,1493
2005,25,1849
2005,15,441
2005,44,292
2005,54,25
2006,25,1809
2006,15,384
2006,34,1599
2006,44,318
2006,54,44
2007,25,1623
2007,34,1620
2007,44,350
2007,54,53
2007,15,297
2008,25,1509
2008,34,1743
2008,15,257
2008,44,419
2008,54,62
2009,25,1269
2009,34,1632
2009,44,450
2009,15,186
2009,54,72
2010,25,1256
2010,44,512
2010,34,1637
2010,15,174
2010,54,92
2011,34,1529
2011,44,470
2011,25,1053
2011,15,128
2011,54,86
2012,34,1524
2012,15,109
2012,25,1123
2012,44,531
2012,54,65
2013,25,1152
2013,34,1812
2013,15,97
2013,44,658
2013,54,69
2014,15,108
2014,44,876
2014,34,2035
2014,25,1279
2014,54,125
2015,34,2407
2015,44,1096
2015,25,1291
2015,54,166
2015,15,97
2016,34,2912
2016,44,1359
2016,25,1308
2016,54,227
2016,15,104
2017,25,1325
2017,34,3080
2017,54,244
2017,44,1513
2017,15,86
2018,25,1273
2018,34,3235
2018,54,280
2018,44,1867
2018,15,77
2019,44,1970
2019,34,3300
2019,54,437
2019,25,1119
2019,15,75
2020,34,2380
2020,44,1561
2020,54,373
2020,25,663
2020,15,59
2021,34,2069
2021,44,1478
2021,54,396
2021,25,594
2021,15,35
