year,age_group,admissions
2002,15,667
2002,25,2042
2002,35,937
2002,45,168
2003,25,2719
2003,15,869
2003,35,1311
2002,54,13
2003,45,179
2003,54,22
2004,25,2373
2004,35,1314
2004,15,649
2004,45,230
2004,54,33
2005,25,2065
2005,35,1327
2005,15,441
2005,45,235
2005,54,25
2006,35,1452
2006,25,2035
2006,15,382
2006,45,234
2006,54,44
2007,35,1493
2007,25,1822
2007,45,269
2007,54,53
2007,15,298
2008,25,1711
2008,35,1614
2008,45,326
2008,54,62
2008,15,257
2009,35,1529
2009,25,1454
2009,15,186
2009,45,348
2009,54,73
2010,25,1418
2010,15,174
2010,35,1590
2010,45,380
2010,54,91
2011,35,1472
2011,25,1211
2011,45,366
2011,15,129
2011,54,86
2012,35,1493
2012,45,423
2012,25,1261
2012,15,109
2012,54,66
2013,25,1368
2013,35,1713
2013,45,545
2013,54,70
2013,15,97
2014,45,727
2014,35,1979
2014,25,1485
2014,54,126
2014,15,107
2015,25,1571
2015,35,2316
2015,45,920
2015,54,168
2015,15,99
2016,35,2816
2016,45,1138
2016,25,1636
2016,15,106
2016,54,227
2017,35,3022
2017,25,1639
2017,45,1257
2017,54,244
2017,15,83
2018,25,1559
2018,45,1590
2018,35,3228
2018,54,280
2018,15,77
2019,45,1677
2019,35,3284
2019,54,438
2019,25,1428
2019,15,75
2020,25,847
2020,45,1316
2020,15,59
2020,35,2467
2020,54,377
2021,45,1286
2021,25,738
2021,35,2154
2021,54,399
2021,15,34
