variable,level,total,2002,2007,2012,2017
total,1,"92,303 (100.0)","21,805 (100.0)","18,479 (100.0)","22,530 (100.0)","29,489 (100.0)"
age_group,15,"4,902 (5.3)","3,013 (13.8)","1,042 (5.6)",515 (2.3),332 (1.1)
"",25,"27,974 (30.3)","10,137 (46.5)","6,710 (36.3)","6,153 (27.3)","4,974 (16.9)"
"",34,"40,108 (43.5)","7,193 (33.0)","8,161 (44.2)","10,690 (47.4)","14,064 (47.7)"
"",44,"16,435 (17.8)","1,325 (6.1)","2,201 (11.9)","4,520 (20.1)","8,389 (28.4)"
"",54,"2,884 (3.1)",137 (0.6),365 (2.0),652 (2.9),"1,730 (5.9)"
STARTAGE,Median [IQR],36 [31-42],32 [27-37],35 [30-40],37 [33-43],40 [35-46]
SEX,male,"66,369 (71.9)","15,741 (72.2)","13,414 (72.6)","16,234 (72.1)","20,980 (71.1)"
"",female or not known,"25,934 (28.1)","6,064 (27.8)","5,065 (27.4)","6,296 (27.9)","8,509 (28.9)"
ETHNOS,White,"78,884 (85.5)","15,889 (72.9)","16,468 (89.1)","20,409 (90.6)","26,118 (88.6)"
"",Black,780 (0.8),178 (0.8),148 (0.8),189 (0.8),265 (0.9)
"",Asian,631 (0.7),80 (0.4),134 (0.7),157 (0.7),260 (0.9)
"",Mixed,778 (0.8),108 (0.5),139 (0.8),216 (1.0),315 (1.1)
"",Other or unknown,"11,230 (12.2)","5,550 (25.5)","1,590 (8.6)","1,559 (6.9)","2,531 (8.6)"
imd5,1 - most deprived,"33,188 (36.0)","12,421 (57.0)","7,971 (43.1)","12,086 (53.6)",710 (2.4)
"",2,"11,954 (13.0)","4,017 (18.4)","3,020 (16.3)","4,622 (20.5)",295 (1.0)
"",3,"5,898 (6.4)","1,856 (8.5)","1,494 (8.1)","2,393 (10.6)",155 (0.5)
"",4,"3,166 (3.4)","1,018 (4.7)",822 (4.4),"1,257 (5.6)",69 (0.2)
"",5 - least deprived,"1,625 (1.8)",486 (2.2),391 (2.1),701 (3.1),47 (0.2)
"",missing,"36,472 (39.5)","2,007 (9.2)","4,781 (25.9)","1,471 (6.5)","28,213 (95.7)"
region,East Midlands,"7,043 (7.6)","1,868 (8.6)","1,435 (7.8)","1,765 (7.8)","1,975 (6.7)"
"",East of England,"4,488 (4.9)",930 (4.3),891 (4.8),"1,226 (5.4)","1,441 (4.9)"
"",London,"7,096 (7.7)","1,973 (9.0)","1,508 (8.2)","1,640 (7.3)","1,975 (6.7)"
"",No fixed abode,"5,011 (5.4)","1,394 (6.4)",592 (3.2),989 (4.4),"2,036 (6.9)"
"",North East,"6,594 (7.1)",850 (3.9),"1,038 (5.6)","1,760 (7.8)","2,946 (10.0)"
"",North West,"19,483 (21.1)","5,152 (23.6)","4,543 (24.6)","4,209 (18.7)","5,579 (18.9)"
"",South East,"7,018 (7.6)","1,427 (6.5)","1,462 (7.9)","1,926 (8.5)","2,203 (7.5)"
"",South West,"8,696 (9.4)","1,870 (8.6)","1,781 (9.6)","2,199 (9.8)","2,846 (9.7)"
"",Unknown,"2,054 (2.2)",464 (2.1),316 (1.7),482 (2.1),792 (2.7)
"",West Midlands,"7,561 (8.2)","1,340 (6.1)","1,584 (8.6)","1,804 (8.0)","2,833 (9.6)"
"",Yorkshire & Humber,"17,259 (18.7)","4,537 (20.8)","3,329 (18.0)","4,530 (20.1)","4,863 (16.5)"
finalDis,died,699 (0.8),107 (0.5),123 (0.7),137 (0.6),332 (1.1)
"",DAMA,"14,927 (16.2)","3,876 (17.8)","2,451 (13.3)","3,355 (14.9)","5,245 (17.8)"
"",normal,"73,579 (79.7)","17,237 (79.1)","15,429 (83.5)","18,310 (81.3)","22,603 (76.6)"
"",other,"3,098 (3.4)",585 (2.7),476 (2.6),728 (3.2),"1,309 (4.4)"
diagnosis,abscess,"29,628 (32.1)","6,755 (31.0)","5,788 (31.3)","7,772 (34.5)","9,313 (31.6)"
"",cellulitis,"20,042 (21.7)","4,593 (21.1)","3,910 (21.2)","4,937 (21.9)","6,602 (22.4)"
"",other_ssti,"8,703 (9.4)","1,530 (7.0)","1,775 (9.6)","2,176 (9.7)","3,222 (10.9)"
"",phlebitis,"21,828 (23.6)","7,137 (32.7)","5,400 (29.2)","4,832 (21.4)","4,459 (15.1)"
"",endocarditis,"2,149 (2.3)",384 (1.8),339 (1.8),601 (2.7),825 (2.8)
"",septicaemia,"6,085 (6.6)",723 (3.3),675 (3.7),"1,246 (5.5)","3,441 (11.7)"
"",osteo,"3,868 (4.2)",683 (3.1),592 (3.2),966 (4.3),"1,627 (5.5)"
period,2002,"21,805 (23.6)","21,805 (100.0)",0 (0.0),0 (0.0),0 (0.0)
"",2007,"18,479 (20.0)",0 (0.0),"18,479 (100.0)",0 (0.0),0 (0.0)
"",2012,"22,530 (24.4)",0 (0.0),0 (0.0),"22,530 (100.0)",0 (0.0)
"",2017,"29,489 (31.9)",0 (0.0),0 (0.0),0 (0.0),"29,489 (100.0)"
